id,Study,Year,PDF link,PDF path,type,tp,fn,fp,tn,n_pos,n_neg,Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Source sheet,region_std,validation_std,prospective_std,vendor_inv,glaucoma_target_std,glaucoma_superclass,age_num,prevalence,modality_std,unit,arm_node,node_type,study_id,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,cohort_id,study_num,test_num,node,node_compare,pos,neg,ai_class
115,Hussein (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Hussein (2026).pdf,04_fulltext/pdfs/Hussein (2026).pdf,AI-only,530,2,1,217,532,218,image,fundus,Public dataset glaucoma/healthy labels and OD/OC segmentation masks; clinical reference standard otherwise not reported,mixed,internal,retrospective,no,any,any,n/r,n/r,"Proposed Hybrid CNN-MLP (ResNet50 + LBP/HOG/SURF + CDR, mRMR-selected; pooled ORIGA + DRISHTI-GS1)",claude_opus_v4,mixed,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,"Proposed Hybrid CNN-MLP (ResNet50 + LBP/HOG/SURF + CDR, mRMR-selected; pooled ORIGA + DRISHTI-GS1)",AI-only,Hussein (2026),0.9962,0.9864,0.9990,0.9954,0.9745,0.9992,2025+,medium,mixed,internal,dataset_label,unclear,Hussein (2026),101,1,AI-only,AI-vs-Reader,532,218,deep learning
116,Singh (2024),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/Singh (2024).pdf,AI-only,43,1,21,129,44,150,image,fundus,ORIGA dataset glaucoma labels; underlying clinical adjudication not reported in this paper,Asia,internal,retrospective,no,any,any,n/r,n/r,GWO pop5 Ensemble,codex_v2,Asia,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,GWO pop5 Ensemble,AI-only,Singh (2024),0.9773,0.8819,0.9960,0.8600,0.7954,0.9066,2020-24,small,Asia,internal,dataset_label,unclear,Singh (2024),102,1,AI-only,AI-vs-Reader,44,150,classical ML
117,Chang (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Chang (2023).pdf,04_fulltext/pdfs/Chang (2023).pdf,AI-only,69,6,12,20,75,32,image,fundus,Two glaucoma physicians at Chang Gung Memorial Hospital judged the images and labeled them as glaucoma or not.,Asia,internal,retrospective,unclear,any,any,n/r,n/r,"Proposed VGG19 classifier with transfer learning (generated + real OCT, internal test set)",claude_opus_v4,Asia,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,"Proposed VGG19 classifier with transfer learning (generated + real OCT, internal test set)",AI-only,Chang (2023),0.9200,0.8363,0.9628,0.6250,0.4525,0.7707,2020-24,small,Asia,internal,dataset_label,unclear,Chang (2023),103,1,AI-only,AI-vs-Reader,75,32,deep learning
118,Lin (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Lin (2022)b.pdf,04_fulltext/Lin (2022)b.pdf,AI-only,348,130,381,5908,478,6289,image,fundus,"OHTS: Visual Field Reading Center and Optic Disc Reading Center assessments with masked senior adjudication/Endpoint Committee criteria; LAG: qualified glaucoma specialists using morphology, intraocular pressure, visual field loss, and manual optic disc assessment.",mixed,internal,mixed,no,POAG,any,n/r,n/r,OHTS test set - DenseNet-201,codex_v2,mixed,internal,mixed,no,POAG,n/r,n/r,n/r,fundus,n/r,OHTS test set - DenseNet-201,AI-only,Lin (2022),0.7280,0.6864,0.7660,0.9394,0.9332,0.9451,2020-24,very large,mixed,internal,expert_clinical,unclear,Lin (2022),104,1,AI-only,AI-vs-Reader,478,6289,deep learning
119,Christopher (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Christopher (2020).pdf,04_fulltext/Christopher (2020).pdf,AI-only,240,36,97,386,276,483,image,fundus,"Expert grader consensus on stereo fundus photographs for DIGS/ADAGES; unanimous agreement of three glaucoma specialists/ophthalmologists reviewing fundus plus OCT imaging for MRCH, Iinan, and Hiroshima; single experienced glaucoma expert fundus-photo review for ACRIMA",mixed,both,mixed,yes,glaucomatous optic neuropathy,any,n/r,n/r,DIGS/ADAGES test | UCSD ResNet50 original | 80% specificity threshold,codex_v2,mixed,both,mixed,yes,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,DIGS/ADAGES test | UCSD ResNet50 original | 80% specificity threshold,AI-only,Christopher (2020),0.8696,0.8247,0.9043,0.7992,0.7611,0.8325,2020-24,medium,mixed,n/r,expert_clinical,unclear,Christopher (2020),105,1,AI-only,AI-vs-Reader,276,483,rule-based (percentile/CDR)
120,Camacho-García-Formentí (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Camacho-Garcia-Forment (2025).pdf,04_fulltext/Camacho-Garcia-Forment (2025).pdf,Human-only,23,23,19,180,46,199,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Ophthalmology residents,codex_v2,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Ophthalmology residents,Human-only,Camacho-García-Formentí (2025),0.5000,0.3612,0.6388,0.9045,0.8557,0.9380,2025+,medium,mixed,internal,expert_clinical,unclear,Camacho-García-Formentí (2025),106,2,Human-only,AI-vs-Reader,46,199,human reader
121,Camacho-García-Formentí (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Camacho-Garcia-Forment (2025).pdf,04_fulltext/Camacho-Garcia-Forment (2025).pdf,AI-only,29,17,11,188,46,199,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,AI high specificity / best F1 threshold,codex_v2,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,AI high specificity / best F1 threshold,AI-only,Camacho-García-Formentí (2025),0.6304,0.4860,0.7548,0.9447,0.9037,0.9689,2025+,medium,mixed,internal,expert_clinical,unclear,Camacho-García-Formentí (2025),106,1,AI-only,AI-vs-Reader,46,199,rule-based (percentile/CDR)
122,Garcia (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Garcia (2021).pdf,04_fulltext/Garcia (2021).pdf,AI-only,22,7,5,30,29,35,image,OCT,"Expert ophthalmologist diagnosis using European guideline-based glaucoma assessment including IOP, gonioscopy, optic nerve head assessment, visual field testing, OCT RNFL/GCIPL assessment; glaucoma visual field defects considered sufficient when repeatable",Europe,both,retrospective,no,any,any,n/r,n/r,vol-DB-3 primary test: Proposed method (RAGNet + SWM),codex_v2,Europe,both,retrospective,no,any,n/r,n/r,n/r,OCT,n/r,vol-DB-3 primary test: Proposed method (RAGNet + SWM),AI-only,Garcia (2021),0.7586,0.5789,0.8778,0.8571,0.7062,0.9374,2020-24,small,non-Asia,n/r,expert_clinical,unclear,Garcia (2021),107,1,AI-only,AI-vs-Reader,29,35,deep learning
123,Fu (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Fu (2018).pdf,04_fulltext/Fu (2018).pdf,AI-only,89,24,1636,4034,113,5670,image,fundus,Dataset glaucoma labels from SCES and SINDI; diagnostic criteria not reported,Asia,external,cross-sectional,yes,any,any,n/r,n/r,SINDI Our DENet average ensemble,codex_v2,Asia,external,cross-sectional,yes,any,n/r,n/r,n/r,fundus,n/r,SINDI Our DENet average ensemble,AI-only,Fu (2018),0.7876,0.7034,0.8529,0.7115,0.6995,0.7231,2015-19,very large,Asia,external,dataset_label,unclear,Fu (2018),108,1,AI-only,AI-vs-Reader,113,5670,deep learning
124,Juneja (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Juneja (2022).pdf,04_fulltext/pdfs/Juneja (2022).pdf,AI-only,745,102,65,198,847,263,image,OCT,public OCT dataset labels for normal vs POAG; specific clinical reference standard n/r,Asia,internal,retrospective,no,POAG,any,n/r,n/r,k-NN (full features),claude_opus_v4,Asia,internal,retrospective,no,POAG,n/r,n/r,n/r,OCT,n/r,k-NN (full features),AI-only,Juneja (2022),0.8796,0.8559,0.8998,0.7529,0.6973,0.8011,2020-24,large,Asia,internal,multimodal_objective,unclear,Juneja (2022),109,1,AI-only,AI-vs-Reader,847,263,deep learning
125,Hwang (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Hwang (2023).pdf,04_fulltext/Hwang (2023).pdf,AI-only,15,1,4,140,16,144,image,fundus,"Dataset-provided ground truth labels for glaucomatous optic neuropathy/control; expert labeling/clinical annotations for most datasets, ORIGA algorithm-based, sjchoi86-HRF unknown",mixed,internal,retrospective,no,glaucomatous optic neuropathy,any,n/r,n/r,ViT - REFUGE2,codex_v2,mixed,internal,retrospective,no,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,ViT - REFUGE2,AI-only,Hwang (2023),0.9375,0.7167,0.9889,0.9722,0.9308,0.9891,2020-24,small,mixed,internal,expert_clinical,unclear,Hwang (2023),110,1,AI-only,AI-vs-Reader,16,144,deep learning
126,Guo (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Guo (2022)b.pdf,04_fulltext/Guo (2022)b.pdf,AI-only,1644,67,94,3049,1711,3143,image,fundus,Public dataset glaucoma labels/gold standards from ophthalmologists or qualified glaucoma experts,mixed,external,retrospective,no,any,any,n/r,n/r,LAG - Proposed MTCLF,codex_v2,mixed,external,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,LAG - Proposed MTCLF,AI-only,Guo (2022),0.9608,0.9506,0.9690,0.9701,0.9635,0.9755,2020-24,large,mixed,external,expert_clinical,unclear,Guo (2022),111,1,AI-only,AI-vs-Reader,1711,3143,deep learning
127,Sharma (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Sharma (2025).pdf,04_fulltext/pdfs/Sharma (2025).pdf,AI-only,299,230,672,10095,529,10767,image,fundus,"Clinical diagnosis by ophthalmologists using OCT, fundus photography, visual field, and IOP measurements for the Tohoku University Hospital dataset; screening ophthalmologist labeling for the Miyagi dataset.",Asia,both,retrospective,yes,any,any,n/r,n/r,MTL_LWBNA-unet — Miyagi Screening (real-world),claude_opus_v4,Asia,both,retrospective,yes,any,n/r,n/r,n/r,fundus,n/r,MTL_LWBNA-unet — Miyagi Screening (real-world),AI-only,Sharma (2025),0.5652,0.5227,0.6068,0.9376,0.9329,0.9420,2025+,very large,Asia,n/r,expert_clinical,unclear,Sharma (2025),112,1,AI-only,AI-vs-Reader,529,10767,deep learning
128,Sanghavi (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Sanghavi (2024).pdf,04_fulltext/Sanghavi (2024).pdf,AI-only,1094,57,20,1944,1151,1964,image,fundus,public dataset ground-truth labels for normal vs glaucomatous images,mixed,internal,retrospective,no,any,any,n/r,n/r,Proposed CNN,codex_v2,mixed,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,Proposed CNN,AI-only,Sanghavi (2024),0.9505,0.9364,0.9616,0.9898,0.9843,0.9934,2020-24,large,mixed,internal,dataset_label,unclear,Sanghavi (2024),113,1,AI-only,AI-vs-Reader,1151,1964,deep learning
129,Zheng (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Zheng (2020).pdf,04_fulltext/Zheng (2020).pdf,AI-only,49,1,1,51,50,52,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Inception-V3 deep learning model,codex_v2,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Inception-V3 deep learning model,AI-only,Zheng (2019),0.9800,0.8950,0.9965,0.9808,0.8988,0.9966,2015-19,small,mixed,internal,expert_clinical,unclear,Zheng (2019),114,1,AI-only,AI-vs-Reader,50,52,deep learning
130,Singh (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Singh (2023).pdf,04_fulltext/pdfs/Singh (2023).pdf,AI-only,255,33,212,1350,288,1562,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ABC + Ensemble on REFUGE+ORIGA (26 features),codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,ABC + Ensemble on REFUGE+ORIGA (26 features),AI-only,Singh (2023),0.8854,0.8434,0.9172,0.8643,0.8464,0.8804,2020-24,large,mixed,internal,expert_clinical,unclear,Singh (2023),115,1,AI-only,AI-vs-Reader,288,1562,classical ML
131,Kanwar (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Kanwar (2026).pdf,04_fulltext/Kanwar (2026).pdf,AI-only,79,1,1,131,80,132,image,fundus,public dataset labels/expert optic disc and cup annotations; exact clinical diagnostic reference standard n/r,Asia,both,retrospective,no,any,any,n/r,n/r,Proposed Energy Mask R-CNN + CC-LSTM,codex_v2,Asia,both,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,Proposed Energy Mask R-CNN + CC-LSTM,AI-only,Kanwar (2026),0.9875,0.9325,0.9978,0.9924,0.9583,0.9987,2025+,medium,Asia,n/r,expert_clinical,unclear,Kanwar (2026),116,1,AI-only,AI-vs-Reader,80,132,deep learning
132,Wei (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Wei (2025).pdf,04_fulltext/Wei (2025).pdf,AI-only,271,25,152,5704,296,5856,image,fundus,Double-blind review of color fundus images by two associate chief ophthalmologists specializing in retinal diseases; disagreements adjudicated by a third chief ophthalmologist,Asia,external,retrospective,unclear,other,any,n/r,n/r,CARE system - possible/suspected glaucoma,codex_v2,Asia,external,retrospective,unclear,other,n/r,n/r,n/r,fundus,n/r,CARE system - possible/suspected glaucoma,AI-only,Wei (2025),0.9155,0.8783,0.9421,0.9740,0.9696,0.9778,2025+,very large,Asia,external,expert_clinical,unclear,Wei (2025),51,1,AI-only,AI-vs-Reader,296,5856,human reader
133,Omar (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Omar (2021).pdf,04_fulltext/Omar (2021).pdf,AI-only,55,5,5,35,60,40,image,multimodal,Diagnosis label in Kim et al. Dryad dataset; clinical reference standard not described,Asia,internal,retrospective,no,POAG,any,n/r,n/r,Ensemble based on voting,codex_v2,Asia,internal,retrospective,no,POAG,n/r,n/r,n/r,multimodal,n/r,Ensemble based on voting,AI-only,Omar (2021),0.9167,0.8193,0.9639,0.8750,0.7389,0.9454,2020-24,small,Asia,internal,dataset_label,unclear,Omar (2021),117,1,AI-only,AI-vs-Reader,60,40,human reader
134,Rasel (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Rasel (2024).pdf,04_fulltext/Rasel (2024).pdf,AI-only,399,49,133,1397,448,1530,image,OCT,ICD-10 H40.1 (POAG) for UKB; provided dataset labels (POAG) for Maetschke ONH-OCT,mixed,internal,retrospective,no,POAG,any,n/r,n/r,"2D-ResNet18 pre-trained, macular-OCT",codex_v2,mixed,internal,retrospective,no,POAG,n/r,n/r,n/r,OCT,n/r,"2D-ResNet18 pre-trained, macular-OCT",AI-only,Rasel (2024),0.8906,0.8583,0.9163,0.9131,0.8979,0.9262,2020-24,large,mixed,internal,multimodal_objective,unclear,Rasel (2024),118,1,AI-only,AI-vs-Reader,448,1530,deep learning
135,García-López (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/Garcia-Lopez (2026).pdf,AI-only,13,3,7,102,16,109,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,External database 2 Mexico IMO - MV,codex_v2,mixed,both,retrospective,no,any,n/r,n/r,n/r,multimodal,n/r,External database 2 Mexico IMO - MV,AI-only,García-López (2026),0.8125,0.5699,0.9341,0.9358,0.8733,0.9685,2025+,small,mixed,n/r,expert_clinical,unclear,García-López (2026),119,1,AI-only,AI-vs-Reader,16,109,deep learning
136,Phene (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Phene (2019).pdf,04_fulltext/pdfs/Phene (2019).pdf,Human-only,174,44,97,890,218,987,image,fundus,"Validation A: glaucoma specialist grading/adjudication of fundus photographs by panels of 3 fellowship-trained glaucoma specialists; Validation B: glaucoma-related ICD codes and ONH referral codes from VA diabetic teleretinal screening records; Validation C: glaucoma specialist eye-level diagnosis based on a full glaucoma workup including history, clinical examination, visual field testing, and OCT.",mixed,both,retrospective,yes,glaucomatous optic neuropathy,any,n/r,n/r,"Deep learning algorithm — Validation dataset A (adjudicated panel of glaucoma specialists, full set)",claude_opus_v4,mixed,both,retrospective,yes,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,"Deep learning algorithm — Validation dataset A (adjudicated panel of glaucoma specialists, full set)",Human-only,Phene (2019),0.7982,0.7399,0.8461,0.9017,0.8816,0.9188,2015-19,large,mixed,n/r,expert_clinical,unclear,Phene (2019),68,2,Human-only,AI-vs-Reader,218,987,human reader
137,AlRyalat (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Alryalat (2024).pdf,04_fulltext/Alryalat (2024).pdf,AI-only,20,20,20,340,40,360,image,fundus,ONH damage and reproducible visual field defects (REFUGE dataset labels),Asia,external,retrospective,no,"glaucoma / glaucomatous vs non-glaucomatous classification, including POAG and NTG cases in REFUGE",any,n/r,n/r,"ChatGPT-4, unprocessed fundus images",codex_v2,Asia,external,retrospective,no,"glaucoma / glaucomatous vs non-glaucomatous classification, including POAG and NTG cases in REFUGE",n/r,n/r,n/r,fundus,n/r,"ChatGPT-4, unprocessed fundus images",AI-only,AlRyalat (2024),0.5000,0.3520,0.6480,0.9444,0.9158,0.9638,2020-24,medium,Asia,external,dataset_label,unclear,AlRyalat (2024),120,1,AI-only,AI-vs-Reader,40,360,deep learning
138,Serte (2021),2020,projects/glaucoma-dl-dta-nma/pdfs/Serte (2021).pdf,04_fulltext/Serte (2021).pdf,AI-only,203,25,31,205,228,236,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,"AlexNet, image based, single CNN",codex_v2,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,"AlexNet, image based, single CNN",AI-only,Serte (2021),0.8904,0.8431,0.9246,0.8686,0.8196,0.9059,2020-24,medium,mixed,internal,expert_clinical,unclear,Serte (2021),121,1,AI-only,AI-vs-Reader,228,236,deep learning
139,Krishna Adithya (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Krishnaadithya (2021).pdf,04_fulltext/Krishnaadithya (2021).pdf,AI-only,81,15,63,166,96,229,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA-B: EffUnet + CDAR,codex_v2,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,ORIGA-B: EffUnet + CDAR,AI-only,Krishna Adithya (2021),0.8438,0.7581,0.9030,0.7249,0.6637,0.7787,2020-24,medium,mixed,internal,expert_clinical,unclear,Krishna Adithya (2021),122,1,AI-only,AI-vs-Reader,96,229,deep learning
140,Nugraha (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Nugraha (2025).pdf,04_fulltext/pdfs/Nugraha (2025).pdf,AI-only,4456,311,446,7103,4767,7549,image,fundus,"Original labels inherited from the 19 contributing public datasets (trained graders, ophthalmologists, or glaucoma specialists based on fundus photograph evaluation, sometimes supplemented by ancillary clinical data such as IOP or optic disc notes; criteria not standardized across datasets)",mixed,internal,retrospective,no,any,any,n/r,n/r,DenseNet121 + Weighted Loss (5-fold CV) — SMDG-19,claude_opus_v4,mixed,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,DenseNet121 + Weighted Loss (5-fold CV) — SMDG-19,AI-only,Nugraha (2025),0.9348,0.9274,0.9414,0.9409,0.9354,0.9460,2025+,very large,mixed,internal,expert_clinical,unclear,Nugraha (2025),123,1,AI-only,AI-vs-Reader,4767,7549,deep learning
141,Haider (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Haider (2023).pdf,04_fulltext/pdfs/Haider (2023).pdf,AI-only,27,13,6,354,40,360,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,REFUGE dataset - proposed FBSS-Net segmentation-based glaucoma classification,codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,REFUGE dataset - proposed FBSS-Net segmentation-based glaucoma classification,AI-only,Haider (2023),0.6750,0.5202,0.7992,0.9833,0.9641,0.9923,2020-24,medium,mixed,internal,expert_clinical,unclear,Haider (2023),124,1,AI-only,AI-vs-Reader,40,360,deep learning
142,Alasmari (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Alasmari (2025).pdf,04_fulltext/Alasmari (2025).pdf,AI-only,126,16,30,116,142,146,image,fundus,REFUGE dataset binary glaucoma labels annotated by seven ophthalmologists and reviewed by one ophthalmologist,Asia,internal,retrospective,no,glaucoma versus normal classification from fundus images,any,n/r,n/r,MaskFormer + Swin-Base,codex_v2,Asia,internal,retrospective,no,glaucoma versus normal classification from fundus images,n/r,n/r,n/r,fundus,n/r,MaskFormer + Swin-Base,AI-only,Alasmari (2025),0.8873,0.8248,0.9294,0.7945,0.7218,0.8521,2025+,medium,Asia,internal,expert_clinical,unclear,Alasmari (2025),125,1,AI-only,AI-vs-Reader,142,146,rule-based (percentile/CDR)
143,Leonardo (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Leonardo (2022).pdf,04_fulltext/Leonardo (2022).pdf,AI-only,92,19,13,195,111,208,image,fundus,"Public dataset glaucoma labels from ORIGA, Drishti-GS, REFUGE, RIM-ONE and ACRIMA",Europe,internal,retrospective,no,glaucomatous optic neuropathy,any,n/r,n/r,"MobileNetV2, original training, original testing",codex_v2,Europe,internal,retrospective,no,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,"MobileNetV2, original training, original testing",AI-only,Leonardo (2022),0.8288,0.7481,0.8876,0.9375,0.8960,0.9631,2020-24,medium,non-Asia,internal,dataset_label,unclear,Leonardo (2022),126,1,AI-only,AI-vs-Reader,111,208,human reader
144,Upadhyaya (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Upadhyaya (2025).pdf,04_fulltext/Upadhyaya (2025).pdf,Human-only,60,22,3,214,82,217,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,"Medios AI vs tele-ophthalmologist, liberal criterion (disc suspect + referable glaucoma positive)",codex_v2,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,"Medios AI vs tele-ophthalmologist, liberal criterion (disc suspect + referable glaucoma positive)",Human-only,Upadhyaya (2025),0.7317,0.6270,0.8156,0.9862,0.9601,0.9953,2025+,medium,mixed,internal,expert_clinical,unclear,Upadhyaya (2025),87,2,Human-only,AI-vs-Reader,82,217,human reader
145,Upadhyaya (2025b),2025,projects/glaucoma-dl-dta-nma/pdfs/Upadhyaya (2025b).pdf,04_fulltext/Upadhyaya (2025b).pdf,Human-only,60,22,3,214,82,217,image,fundus,"Tele-ophthalmologist diagnosis from fundus images/history for full-cohort contingency tables; glaucoma specialist diagnosis using clinical examination, IOP/gonioscopy, Humphrey visual field, and OCT for referred subset",Asia,external,prospective,yes,referable,any,n/r,n/r,"Medios AI vs tele-ophthalmologist, full cohort, liberal criterion (disc suspect + referable glaucoma positive)",codex_v2,Asia,external,prospective,yes,referable,n/r,n/r,n/r,fundus,n/r,"Medios AI vs tele-ophthalmologist, full cohort, liberal criterion (disc suspect + referable glaucoma positive)",Human-only,Upadhyaya (2025b),0.7317,0.6270,0.8156,0.9862,0.9601,0.9953,2025+,medium,Asia,external,expert_clinical,unclear,Upadhyaya (2025b),88,2,Human-only,AI-vs-Reader,82,217,human reader
146,Luo (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Luo (2021).pdf,04_fulltext/Luo (2021).pdf,AI-only,178,81,141,859,259,1000,image,fundus,annotations by trained ophthalmologist (OIA-ODIR dataset labels),Asia,internal,retrospective,unclear,"Glaucoma, unspecified subtype or severity",any,n/r,n/r,EfficientNet-B3,codex_v2,Asia,internal,retrospective,unclear,"Glaucoma, unspecified subtype or severity",n/r,n/r,n/r,fundus,n/r,EfficientNet-B3,AI-only,Luo (2021),0.6873,0.6284,0.7406,0.8590,0.8361,0.8792,2020-24,large,Asia,internal,expert_clinical,unclear,Luo (2021),127,1,AI-only,AI-vs-Reader,259,1000,deep learning
147,Rao (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Rao (2024).pdf,04_fulltext/pdfs/Rao (2024).pdf,Human-only,104,7,19,113,111,132,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Medios AI-Glaucoma on FOP NM-10 smartphone fundus images vs final glaucoma specialist diagnosis,codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Medios AI-Glaucoma on FOP NM-10 smartphone fundus images vs final glaucoma specialist diagnosis,Human-only,Rao (2024),0.9369,0.8755,0.9691,0.8561,0.7861,0.9059,2020-24,medium,mixed,internal,expert_clinical,unclear,Rao (2024),96,2,Human-only,AI-vs-Reader,111,132,human reader
148,Surya (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Surya (2023).pdf,04_fulltext/Surya (2023).pdf,AI-only,5,9,1,204,14,205,image,fundus,Ophthalmologist/glaucoma specialist grading of fundus photographs according to International Council of Ophthalmology glaucoma guidelines,Asia,external,prospective,yes,any,any,n/r,n/r,Dr Noon AI - retina clinic to glaucoma cross-referral,codex_v2,Asia,external,prospective,yes,any,n/r,n/r,n/r,fundus,n/r,Dr Noon AI - retina clinic to glaucoma cross-referral,AI-only,Surya (2023),0.3571,0.1634,0.6124,0.9951,0.9729,0.9991,2020-24,medium,Asia,external,expert_clinical,unclear,Surya (2023),95,1,AI-only,AI-vs-Reader,14,205,deep learning
149,Xue (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Xue (2022).pdf,04_fulltext/Xue (2022).pdf,AI-only,169,11,32,28,180,60,image,multimodal,Consensus grading by three experienced glaucoma experts per American Academy of Ophthalmology guideline,Asia,internal,retrospective,no,any,any,n/r,n/r,"CFP-DL testing, glaucoma vs normal collapsed from 4-class matrix",codex_v2,Asia,internal,retrospective,no,any,n/r,n/r,n/r,multimodal,n/r,"CFP-DL testing, glaucoma vs normal collapsed from 4-class matrix",AI-only,Xue (2022),0.9389,0.8939,0.9655,0.4667,0.3463,0.5911,2020-24,medium,Asia,internal,expert_clinical,unclear,Xue (2022),128,1,AI-only,AI-vs-Reader,180,60,deep learning
150,Xue (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Xue (2022).pdf,04_fulltext/Xue (2022).pdf,Human-only,1344,96,172,308,1440,480,image,multimodal,Consensus grading by three experienced glaucoma experts per American Academy of Ophthalmology guideline,Asia,internal,retrospective,no,any,any,n/r,n/r,"Junior ophthalmologists aggregate, no AI, glaucoma vs normal collapsed from mean 4-class matrix",codex_v2,Asia,internal,retrospective,no,any,n/r,n/r,n/r,multimodal,n/r,"Junior ophthalmologists aggregate, no AI, glaucoma vs normal collapsed from mean 4-class matrix",Human-only,Xue (2022),0.9333,0.9193,0.9451,0.6417,0.5978,0.6833,2020-24,large,Asia,internal,expert_clinical,unclear,Xue (2022),128,2,Human-only,AI-vs-Reader,1440,480,human reader
151,David (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/David (2023).pdf,04_fulltext/pdfs/David (2023).pdf,AI-only,4787,91,299,6583,4878,6882,image,fundus,other,Asia,internal (same-source split),retrospective,no,any,any,n/r,n/r,Proposed ensemble based CNN classification with spatially based ellipse fitting curve model (SBEFCM) - LAG dataset,codex_missing,Asia,internal (same-source split),retrospective,no,any,n/r,n/r,n/r,fundus,n/r,Proposed ensemble based CNN classification with spatially based ellipse fitting curve model (SBEFCM) - LAG dataset,AI-only,David (2023),0.9813,0.9772,0.9848,0.9566,0.9515,0.9611,2020-24,very large,Asia,internal,other,unclear,David (2023),129,1,AI-only,AI-vs-Reader,4878,6882,deep learning
