Study,Year,Test_arm,AI_algorithm,Number_of_human_readers,Reader_experience_yrs,Reader_age,Reader_sex_female_pct,Validation_type,Reference_standard,Threshold_cutoff,Unit,Imaging_modality,Scan_target
Li (2021),2021,"Ophthalmologist (3 yrs UWF experience, ZOC)",human reader (no AI),1,3,n/r,n/r,external,Consensus of 3 glaucoma specialists (5/7/8 yrs); senior specialist (>20 yrs) arbitration,n/r,image,"ultra-wide field fundus (Optos 200TX, 200°)",ONH
Wei (2025),2025,CARE,Single Convolutional Neural Network (CNN),2,n/r,n/r,n/r,internal,Consensus of two associate chief ophthalmologists; third chief adjudication on disagreement,n/r,image,fundus,full retina
Liao (2020),2020,EAMNet,ResBlock-based CNN with Multi-Layers Average Pooling (M-LAP) and Evidence Activation Mapping (EAM),n/r,n/r,n/r,n/r,internal,Clinical glaucoma diagnoses (ORIGA ground truth labels),n/r,image,fundus,ONH
Hemelings (2023),2023,G-RISK on BMES,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,OAG by VF loss + neuroretinal rim thinning + VCDR≥0.7 + asymmetric cupping + gonioscopy,0.70 (participant level),patient,fundus,ONH
Hemelings (2023),2023,G-RISK on GHS,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,"modified ISGEO (VCDR, asymmetric cupping, rim narrowing, disc size adjusted)",0.70 (participant level),patient,fundus,ONH
Hemelings (2023),2023,G-RISK on AIROGS,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,"≥2 glaucoma expert graders, 10 structural ONH features for referable glaucoma",0.74 (image level optimal); 0.70 fixed,image,fundus,ONH
Hemelings (2023),2023,G-RISK on ORIGA,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,dataset-provided (procedure not defined),0.66,image,fundus,ONH
Hemelings (2023),2023,G-RISK on REFUGE1,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,"multimodal (clinical records, IOP, OCT, VF, follow-up); POAG/NTG",0.58 (all); 0.61 (test),image,fundus,ONH
Hemelings (2023),2023,G-RISK on ODIR,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,expert-annotated dataset labels,0.75,image,fundus,ONH
Hemelings (2023),2023,G-RISK on REFUGE2,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,"multimodal specialist diagnosis (fundus, IOP, VF, OCT)",n/r,image,fundus,ONH
Hemelings (2023),2023,G-RISK on GAMMA,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,"specialist multimodal (fundus, IOP, VF, OCT)",0.64,image,fundus,ONH
Hemelings (2023),2023,G-RISK on RIM-ONE r3,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,dataset-provided expert labels,0.66 (w/o suspects); 0.71 (with suspects),image,fundus,ONH
Hemelings (2023),2023,G-RISK on RIM-ONE DL,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,two-expert photo evaluation by glaucoma experts,0.66 (all); 0.70 (test),image,fundus,ONH
Hemelings (2023),2023,G-RISK on ACRIMA,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,two-expert labelling,0.64,image,fundus,ONH
Hemelings (2023),2023,G-RISK on LAG,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,IOP + VF + manual ONH assessment by qualified specialists,0.62,image,fundus,ONH
Hemelings (2023),2023,G-RISK on PAPILA,ResNet-50 regression CNN (G-RISK),n/r,n/r,n/r,n/r,external,trained ophthalmologist evaluation of clinical data (glaucomatous/suspect/non-glaucomatous),"0.64 (susp. referable, eye); 0.70 (susp. non-referable, eye)",eye,fundus,ONH
Xu (2021)b,2021,HDLS - internal validation (validation dataset 1),Hierarchical deep learning system: Inception-v3 (pre-diagnosis) + U-Net (OD/OC/RNFLD segmentation) + SVM/decision-tree final classifier based on MCDR and ISNT score,n/r,n/r,n/r,n/r,internal,Consensus of 2 senior glaucoma specialists (>10 years) grading referable GON on fundus images,0.8 (softmax output of pre-diagnosis classification network),image,fundus,"ONH (optic disc, optic cup) and RNFL"
Xu (2021)b,2021,"HDLS - external validation (validation dataset 2, Tibet and Ningxia)",Hierarchical deep learning system: Inception-v3 + U-Net + SVM/decision-tree on MCDR and ISNT score,n/r,n/r,n/r,n/r,external,Consensus of 2 senior glaucoma specialists (>10 years) grading referable GON on fundus images,0.8,image,fundus,"ONH (optic disc, optic cup) and RNFL"
Xu (2021)b,2021,Senior ophthalmologists - independent diagnosis (validation dataset 3),n/r,4,>8,n/r,n/r,internal,Consensus of 2 senior glaucoma specialists (>10 years) grading referable GON on fundus images,n/r,image,fundus,ONH and RNFL
Xu (2021)b,2021,Junior ophthalmologists - independent diagnosis (validation dataset 3),n/r,4,3-5,n/r,n/r,internal,Consensus of 2 senior glaucoma specialists (>10 years) grading referable GON on fundus images,n/r,image,fundus,ONH and RNFL
Xu (2021)b,2021,Technicians - independent diagnosis (validation dataset 3),n/r,4,n/r,n/r,n/r,internal,Consensus of 2 senior glaucoma specialists (>10 years) grading referable GON on fundus images,n/r,image,fundus,ONH and RNFL
Lin (2022)a,2022,GlaucomaNet (OHTS),Joint fusion of DenseNet-201 and ResNet-152,n/r,n/r,n/r,n/r,internal,OHTS Reading Center adjudicated optic disc and visual field grading,n/r,image,fundus,ONH
Lin (2022)a,2022,GlaucomaNet (LAG),Joint fusion of DenseNet-201 and ResNet-152,n/r,n/r,n/r,n/r,internal,"Glaucoma specialist diagnosis (IOP, visual field, manual optic disc assessment)",n/r,image,fundus,ONH
Shibata (2018),2018,ResNet (deep residual learning),ResNet with 18 convolutional layers,n/r,n/r,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs and SD-OCT (cpRNFLT, mIRT)",Sensitivity calculated at specificity = 95%,eye,fundus,ONH
Shibata (2018),2018,CNN with 16 layers (VGG16-like),"CNN with 16 layers, similar to VGG16",n/r,n/r,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs and SD-OCT (cpRNFLT, mIRT)",Sensitivity at specificity = 95%,eye,fundus,ONH
Shibata (2018),2018,Support Vector Machine,"SVM with Radial Basis Function, penalty parameter = 1.0",n/r,n/r,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs and SD-OCT (cpRNFLT, mIRT)",Sensitivity at specificity = 95%,eye,fundus,ONH
Shibata (2018),2018,Random Forest,"Random Forest (trees = 10,000, Gini index, min split = 2, min leaf = 1)",n/r,n/r,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs and SD-OCT (cpRNFLT, mIRT)",Sensitivity at specificity = 95%,eye,fundus,ONH
Shibata (2018),2018,Resident in Ophthalmology A,Human reader (1st-year ophthalmology resident),1,1,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs and SD-OCT (cpRNFLT, mIRT)",n/r,eye,fundus,ONH
Shibata (2018),2018,Resident in Ophthalmology B,Human reader (3rd-year ophthalmology resident),1,3,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs and SD-OCT (cpRNFLT, mIRT)",n/r,eye,fundus,ONH
Shibata (2018),2018,Resident in Ophthalmology C,Human reader (4th-year ophthalmology resident),1,4,n/r,n/r,external,"Consensus of three glaucoma specialists using fundus photographs and SD-OCT (cpRNFLT, mIRT)",n/r,eye,fundus,ONH
MacCormick (2019),2019,"Spatial algorithm — ORIGA internal validation, semi-automated segmentation","Hierarchical spatial probabilistic model (mixed-effects, harmonic basis) with empirical Bayes posterior probability rule on 24-direction pCDR",n/r,n/r,n/r,n/r,internal,ORIGA clinical glaucoma labels (SiMES),posterior probability 0.96 (closest-to-top-left on ROC),image,fundus,ONH
MacCormick (2019),2019,"Spatial algorithm — ORIGA internal validation, fully automated segmentation",DenseNet-based fully convolutional network for OD/OC segmentation + hierarchical spatial probabilistic model on 24-direction pCDR,n/r,n/r,n/r,n/r,internal,ORIGA clinical glaucoma labels (SiMES),posterior probability threshold yielding 96.6% sensitivity / 99.0% specificity,image,fundus,ONH
MacCormick (2019),2019,"Spatial algorithm — RIM-ONE external validation, semi-automated segmentation","Hierarchical spatial probabilistic model trained on ORIGA semi-automated pCDR, applied to RIM-ONE semi-automated pCDR",2,n/r,n/r,n/r,external,RIM-ONE expert ophthalmologist labels (Hospital Universitario de Canarias),n/r,image,fundus,ONH
MacCormick (2019),2019,"Spatial algorithm — RIM-ONE external validation, fully automated segmentation",DenseNet-based FCN (trained on green channel of 75% ORIGA) for OD/OC segmentation + hierarchical spatial probabilistic model on 24-direction pCDR,2,n/r,n/r,n/r,external,RIM-ONE expert ophthalmologist labels (Hospital Universitario de Canarias),posterior probability 0.90 (89.7% sensitivity / 74.1% specificity),image,fundus,ONH
MacCormick (2019),2019,Support Vector Machine (SVM) comparator on pCDR — ORIGA internal validation,Support vector machine classifier on 24-dimensional pCDR feature vector,n/r,n/r,n/r,n/r,internal,ORIGA clinical glaucoma labels (SiMES),n/r,image,fundus,ONH
Thakoor (2021)b,2021,InceptionV3+FC (Lab),InceptionV3 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,n/r,n/r,internal,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,InceptionV3+FC (Field),InceptionV3 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,n/r,n/r,external,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,ResNet-18+FC (Lab),ResNet-18 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,n/r,n/r,internal,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,ResNet-18+FC (Field),ResNet-18 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,n/r,n/r,external,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,VGG-16+FC (Lab),VGG-16 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,n/r,n/r,internal,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,VGG-16+FC (Field),VGG-16 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,n/r,n/r,external,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,DenseNet-121+FC (Lab),DenseNet-121 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,n/r,n/r,internal,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,DenseNet-121+FC (Field),DenseNet-121 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,n/r,n/r,external,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,CNN Ensemble (Lab),"Averaged ensemble of InceptionV3+FC, ResNet-18+FC, and VGG-16+FC",1,n/r,n/r,n/r,internal,Single OCT expert grading of full OCT reports,0.5 averaged sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,CNN Ensemble (Field),"Averaged ensemble of InceptionV3+FC, ResNet-18+FC, and VGG-16+FC",1,n/r,n/r,n/r,external,Single OCT expert grading of full OCT reports,0.5 averaged sigmoid probability,image,OCT,RNFL probability map
Bisneto (2020),2020,cGAN + taxonomic indexes + MLP (all channels + CLAHE + internal/external masks),"Pix2pix cGAN (U-Net generator, PatchGAN discriminator) for OD segmentation; taxonomic diversity (Δ) and taxonomic distinction (Δ*) texture features; Multilayer Perceptron classifier",n/r,n/r,n/r,n/r,internal,Expert manual markings (Drishti-GS and RIM-ONE v2 ground truth),n/r,image,fundus,ONH
Bisneto (2020),2020,cGAN + taxonomic indexes + SMO (all channels + CLAHE + internal/external masks),"Pix2pix cGAN (U-Net generator, PatchGAN discriminator) for OD segmentation; taxonomic diversity (Δ) and taxonomic distinction (Δ*) texture features; Sequential Minimal Optimization (SVM) classifier",n/r,n/r,n/r,n/r,internal,Expert manual markings (Drishti-GS and RIM-ONE v2 ground truth),n/r,image,fundus,ONH
Bisneto (2020),2020,cGAN + taxonomic indexes + Random Forest (all channels + CLAHE + internal/external masks),"Pix2pix cGAN (U-Net generator, PatchGAN discriminator) for OD segmentation; taxonomic diversity (Δ) and taxonomic distinction (Δ*) texture features; Random Forest classifier (100 trees)",n/r,n/r,n/r,n/r,internal,Expert manual markings (Drishti-GS and RIM-ONE v2 ground truth),n/r,image,fundus,ONH
Maetschke (2021),2021,Proposed RAGNet-VGG16 + LSTM + SWM,"CNN-LSTM: VGG16 fine-tuned with residual + attention modules (RAGNet) as slide-level feature extractor, LSTM with sequential-weighting module for volume-level prediction",1,n/r,n/r,n/r,internal,Expert ophthalmologist diagnosis per European Glaucoma Society guideline,n/r,eye,"SD-OCT (Topcon 2000, 885×512×128 voxels, ~6 μm resolution)",ONH
Maetschke (2021),2021,Proposed RAGNet-VGG16 + LSTM + SWM + Bidirectional,RAGNet feature extractor + bidirectional LSTM + SWM,1,n/r,n/r,n/r,internal,Expert ophthalmologist diagnosis per European Glaucoma Society guideline,n/r,eye,SD-OCT,ONH
Maetschke (2021),2021,VGG16 + LSTM + SWM,Fine-tuned VGG16 (no residual/attention) as feature extractor + LSTM + SWM,1,n/r,n/r,n/r,internal,Expert ophthalmologist diagnosis per European Glaucoma Society guideline,n/r,eye,SD-OCT,ONH
Maetschke (2021),2021,Maetschke et al. 3D-CNN (replicated),3D-CNN trained from scratch (Maetschke et al. 2019 architecture),1,n/r,n/r,n/r,internal,Expert ophthalmologist diagnosis per European Glaucoma Society guideline,n/r,eye,SD-OCT,ONH
Maetschke (2021),2021,Ran et al. 3D-CNN (replicated),3D-CNN per Ran et al. 2019 (Lancet Digital Health) architecture,1,n/r,n/r,n/r,internal,Expert ophthalmologist diagnosis per European Glaucoma Society guideline,n/r,eye,SD-OCT,ONH
Bisneto (2020),2020,MLP + taxonomic diversity features (all channels + CLAHE + internal/external masks),"Multilayer Perceptron (1 hidden layer, 57 neurons; learning rate 0.3; momentum 0.2; 500 epochs) on 72 taxonomic diversity/distinction features; OD segmented by cGAN Pix2pix (U-Net + PatchGAN)",n/r,n/r,n/r,n/r,internal,Expert manual OD/label annotations from Drishti-GS and RIM-ONE v2,n/r,image,fundus,ONH
Bisneto (2020),2020,SMO (SVM) + taxonomic diversity features (all channels + CLAHE + internal/external masks),"Sequential Minimal Optimization SVM with PolyKernel (C=1.0, epsilon=1.0E-12, tolerance=0.001) on 72 taxonomic diversity/distinction features; OD segmented by cGAN Pix2pix",n/r,n/r,n/r,n/r,internal,Expert manual OD/label annotations from Drishti-GS and RIM-ONE v2,n/r,image,fundus,ONH
Bisneto (2020),2020,Random Forest + taxonomic diversity features (all channels + CLAHE + internal/external masks),"Random Forest (100 trees, seed=1) on 72 taxonomic diversity/distinction features; OD segmented by cGAN Pix2pix (U-Net + PatchGAN)",n/r,n/r,n/r,n/r,internal,Expert manual OD/label annotations from Drishti-GS and RIM-ONE v2,n/r,image,fundus,ONH
Mariottoni (2021),2021,DL algorithm (ResNet50),"ResNet50 (transfer learning, ImageNet pre-trained)",n/r,n/r,n/r,n/r,internal,Objective SDOCT RNFL + SAP structural-functional GON definition,95% specificity operating point (sensitivity 77.3%),image,fundus,ONH
Vali (2023),2023,DenseNet121 (Single-Center internal validation),DenseNet121 with ImageNet pretraining and transfer learning; preceded by modified U-Net OD-SEG,n/r,n/r,n/r,n/r,internal,Consensus diagnosis by 3 neuro-ophthalmologists and 2 glaucoma specialists,softmax argmax (3-class),image,fundus,ONH
Vali (2023),2023,DenseNet121 (Multi-Center external validation),DenseNet121 with ImageNet pretraining and transfer learning; preceded by modified U-Net OD-SEG,n/r,n/r,n/r,n/r,external,Consensus diagnosis by 3 neuro-ophthalmologists and 2 glaucoma specialists,softmax argmax (3-class),image,fundus,ONH
Vali (2023),2023,"Senior glaucoma specialist (masked human reader, external sets)",n/r,1,n/r,n/r,n/r,external,Consensus diagnosis by 3 neuro-ophthalmologists and 2 glaucoma specialists,clinical judgment (GON vs NGON),image,fundus,ONH
Nakahara (2022),2022,ResNet-34 on conventional fundus camera images,ResNet-34 (ImageNet-pretrained),n/r,n/r,n/r,n/r,external,Three glaucoma specialists per Japan Glaucoma Society Guidelines,Sensitivity 98.6%/97.3%/94.5% at specificity 85%/90%/95%,eye,fundus,ONH
Nakahara (2022),2022,ResNet-34 on smartphone-based fundus images,ResNet-34 (ImageNet-pretrained),n/r,n/r,n/r,n/r,external,Three glaucoma specialists per Japan Glaucoma Society Guidelines,Sensitivity 64.4%/50.7%/37.0% at specificity 85%/90%/95%,eye,fundus,ONH
Muhammad (2017),2017,HDLM - RNFL probability map,"AlexNet (pretrained, fc6 features) + Random Forest (200 trees)",2,n/r,n/r,n/r,internal,2 glaucoma specialists consensus (G/PG vs H/PH),"Random Forest majority vote (leave-one-out cross-validation, 50 trials)",eye,"swept-source OCT (Topcon DRI OCT-1 Atlantis, 12x9 mm wide-field)","full retina (wide-field, includes ONH, RNFL and macula)"
Muhammad (2017),2017,HDLM - RNFL thickness map,"AlexNet (pretrained, fc6 features) + Random Forest (200 trees)",2,n/r,n/r,n/r,internal,2 glaucoma specialists consensus,"Random Forest majority vote (LOOCV, 50 trials)",eye,"swept-source OCT (Topcon DRI OCT-1 Atlantis, 12x9 mm wide-field)",full retina (wide-field RNFL)
Muhammad (2017),2017,HDLM - RGC+ thickness map,"AlexNet (pretrained, fc6 features) + Random Forest (200 trees)",2,n/r,n/r,n/r,internal,2 glaucoma specialists consensus,"Random Forest majority vote (LOOCV, 50 trials)",eye,"swept-source OCT (Topcon DRI OCT-1 Atlantis, 12x9 mm wide-field)","macula (6x6 mm centered on fovea, RGC+ layer)"
Muhammad (2017),2017,HDLM - RGC+ probability map,"AlexNet (pretrained, fc6 features) + Random Forest (200 trees)",2,n/r,n/r,n/r,internal,2 glaucoma specialists consensus,"Random Forest majority vote (LOOCV, 50 trials)",eye,"swept-source OCT (Topcon DRI OCT-1 Atlantis, 12x9 mm wide-field)",macula (6x6 mm centered on fovea)
Muhammad (2017),2017,HDLM - en face projection,"AlexNet (pretrained, fc6 features) + Random Forest (200 trees)",2,n/r,n/r,n/r,internal,2 glaucoma specialists consensus,"Random Forest majority vote (LOOCV, 50 trials)",eye,"swept-source OCT (Topcon DRI OCT-1 Atlantis, 12x9 mm wide-field)",full retina (50 µm slab beneath ILM)
Muhammad (2017),2017,HDLM - combined (RNFL prob + RGC+ prob + RNFL thickness),"AlexNet (pretrained, fc6 features) + Random Forest (200 trees)",2,n/r,n/r,n/r,internal,2 glaucoma specialists consensus,"Random Forest majority vote (LOOCV, 50 trials)",eye,"swept-source OCT (Topcon DRI OCT-1 Atlantis, 12x9 mm wide-field)",full retina (composite of RNFL and macular RGC+ maps)
Bouris (2026),2026,ViT (primary model),"Vision Transformer (vit-base-patch16-224-in21k), 12 MHSA heads, 86.4M parameters",2,n/r,n/r,n/r,internal,Two glaucoma specialists' grading with third-expert adjudication,0.5,image,fundus,ONH
Bouris (2026),2026,EfficientNetV2B0 (CNN comparator),"EfficientNetV2B0 with ImageNet transfer learning, dropout + dense layer, fine-tuned blocks 1/4/6",2,n/r,n/r,n/r,internal,Two glaucoma specialists' grading with third-expert adjudication,0.5,image,fundus,ONH
Sujithra (2024),2024,GWO + ResNet50 (ORIGA),Gray Wolf Optimization + ResNet-50 (transfer learning),n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,full retina
Sujithra (2024),2024,GWO + ResNet50 (SCES),Gray Wolf Optimization + ResNet-50 (transfer learning),n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,full retina
Sujithra (2024),2024,GWO + ResNet50 (SINDI),Gray Wolf Optimization + ResNet-50 (transfer learning),n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,full retina
Sujithra (2024),2024,"GWO + ResNet50 (in-house clinical, Somervell Memorial CSI Hospital)",Gray Wolf Optimization + ResNet-50 (transfer learning),n/r,n/r,n/r,n/r,internal,n/r,n/r,image,fundus,full retina
Oh (2021),2021,XGboost,"XGboost (gbtree booster, eta=0.7, max_depth=8)",n/r,n/r,n/r,n/r,internal,Diagnosis by three glaucoma specialists based on optic disc structural changes and glaucomatous VF defects,n/r,eye,multimodal,RNFL (peripapillary) + VF + IOP
Oh (2021),2021,Support Vector Machine (SVM),Support Vector Machine,n/r,n/r,n/r,n/r,internal,Diagnosis by three glaucoma specialists based on optic disc structural changes and glaucomatous VF defects,n/r,eye,multimodal,RNFL (peripapillary) + VF + IOP
Oh (2021),2021,C5.0,C5.0 decision tree,n/r,n/r,n/r,n/r,internal,Diagnosis by three glaucoma specialists based on optic disc structural changes and glaucomatous VF defects,n/r,eye,multimodal,RNFL (peripapillary) + VF + IOP
Oh (2021),2021,Random Forest,Random Forest,n/r,n/r,n/r,n/r,internal,Diagnosis by three glaucoma specialists based on optic disc structural changes and glaucomatous VF defects,n/r,eye,multimodal,RNFL (peripapillary) + VF + IOP
Shi (2024),2024,SVM Model A (entire image),Modified ResNet-50 feature extraction + Glmnet selection + SVM,3,3,n/r,n/r,internal,Ophthalmologist labelling of fundus image + paired OCT optic disc scan,n/r,image,fundus,full retina
Shi (2024),2024,SVM Model B (ROI of optic disc),ROI segmentation + ARIA features + SVM,3,3,n/r,n/r,internal,Ophthalmologist labelling of fundus image + paired OCT optic disc scan (signal strength index ≥7),n/r,image,fundus,ONH
Shi (2024),2024,SVM Model C (ROI of macula),ROI segmentation + ARIA features + SVM,3,3,n/r,n/r,internal,Ophthalmologist labelling of fundus image + paired OCT macular (GCIPL) scan (signal strength index ≥7),n/r,image,fundus,macula
Shi (2024),2024,SVM Model D (combined features),"Combined ResNet-50/ARIA features from entire image + optic disc ROI + macula ROI, classified with SVM",3,3,n/r,n/r,internal,Ophthalmologist labelling of fundus image + paired OCT optic disc and macular scans,n/r,image,fundus,full retina
Omar (2021),2021,GLAUDIA consensus ensemble (top-5),Consensus ensemble of Logistic Regression + Random Forest + SVM (linear kernel) + K-Nearest Neighbors + Decision Tree,n/r,n/r,n/r,n/r,internal,Clinical diagnosis label from Kim et al. 2017 dataset (POAG/NTG vs normal),Consensus rule: classify as 'no glaucoma' only if all 5 models agree negative; otherwise glaucoma,patient,multimodal,n/r
Omar (2021),2021,Majority-voting ensemble (top-5),Majority voting ensemble of Logistic Regression + Random Forest + SVM (linear kernel) + K-Nearest Neighbors + Decision Tree,n/r,n/r,n/r,n/r,internal,Clinical diagnosis label from Kim et al. 2017 dataset (POAG/NTG vs normal),Majority vote across the 5 base classifiers,patient,multimodal,n/r
Hemelings (2023),2023,G-RISK on BMES,"ResNet-50 regression CNN (linear activation, MSE loss)",3 (only for review of misclassified cases),n/r,n/r,n/r,external,OAG: VF loss on HFA 30-2 + neuroretinal rim thinning + VCDR≥0.7 + asymmetric cupping (>0.3) + gonioscopy excluding angle closure,0.70 (also reported at 95% specificity),patient,"fundus (analog Zeiss FF3, digitized)",ONH (30° disc-centered)
Hemelings (2023),2023,G-RISK on GHS,ResNet-50 regression CNN,3 (only for misclassified case review),n/r,n/r,n/r,external,"Modified ISGEO with disc-size adjustment (VCDR, asymmetric cupping, rim narrowing <10% disc diameter)",0.70,patient,fundus (Zeiss VISUCAM),ONH (30° disc-centered)
Hemelings (2023),2023,G-RISK on AIROGS,ResNet-50 regression CNN,n/r,n/r,n/r,n/r,external,Referable glaucoma defined by ≥2 of 22 glaucoma experts using 10 structural features with expected matching VF damage,0.74 (balanced); 0.70 (fixed),image,"fundus (multiple cameras, EyePACS network)",ONH (30° disc-centered after preprocessing)
Hemelings (2023),2023,G-RISK on ORIGA,ResNet-50 regression CNN,n/r,n/r,n/r,n/r,external,Not defined by dataset (SiMES-based),0.66,image,fundus,ONH
Hemelings (2023),2023,G-RISK on REFUGE1,ResNet-50 regression CNN,n/r,n/r,n/r,n/r,external,"Multimodal clinical assessment (IOP, OCT, VF, follow-up) — POAG or NTG",0.58 (all); 0.61 (test set),image,"fundus (Zeiss VISUCAM, Canon CR-2; 45° macula-centered original)",ONH (preprocessed to 30° disc-centered)
Hemelings (2023),2023,G-RISK on ODIR,ResNet-50 regression CNN,n/r,n/r,n/r,n/r,external,Expert-annotated labels (multi-disease dataset),0.75,image,"fundus (Canon, Zeiss, Kowa; macula-centered)",ONH
Hemelings (2023),2023,G-RISK on REFUGE2,ResNet-50 regression CNN,n/r,n/r,n/r,n/r,external,Multimodal clinical assessment (as REFUGE1),n/r,image,"fundus (Kowa validation, Topcon test)",ONH
Hemelings (2023),2023,G-RISK on GAMMA,ResNet-50 regression CNN,n/r,n/r,n/r,n/r,external,Specialist assessment using fundus + IOP + VF + OCT,0.64 (all); 0.64 (early); 0.67 (advanced),image,fundus (multimodal challenge dataset),ONH
Hemelings (2023),2023,G-RISK on RIM-ONE r3,ResNet-50 regression CNN,n/r,n/r,n/r,n/r,external,Expert image-based annotation,0.66 (w/o suspects); 0.71 (with suspects),image,fundus (Kowa WX 3D stereo; 20°×27° FOV),ONH
Hemelings (2023),2023,G-RISK on RIM-ONE DL,ResNet-50 regression CNN,n/r,n/r,n/r,n/r,external,Glaucoma expert photo evaluation (re-evaluated by 2 experts),0.66 (all); 0.70 (test set),image,"fundus (multiple cameras, disc-cropped)",ONH
Hemelings (2023),2023,G-RISK on ACRIMA,ResNet-50 regression CNN,n/r,n/r,n/r,n/r,external,Two-expert glaucoma labeling,0.64,image,"fundus (Topcon TRC, 35° FOV, disc-cropped)",ONH
Hemelings (2023),2023,G-RISK on LAG,ResNet-50 regression CNN,n/r,n/r,n/r,n/r,external,IOP + VF + manual ONH assessment by qualified specialists,0.62,image,"fundus (mixed cameras, varying angles)",ONH
Hemelings (2023),2023,G-RISK on PAPILA,ResNet-50 regression CNN,n/r,n/r,n/r,n/r,external,Trained ophthalmologist evaluation of clinical data (glaucomatous / non-glaucomatous / suspect),"0.64 (eye, suspect referable); 0.70 (eye, suspect non-referable); 0.71/0.78 (participant)",eye,"fundus (Topcon TRC-NW400, non-mydriatic, 30° FOV)",ONH
Orlando (2020),2020,VRT,"Attention-guided custom CNN (Son et al. 2018) with structural region separation; trained on Kaggle DR, MESSIDOR, IDRiD with weak labels",2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,ONH + RNFL (full image with attention mask)
Orlando (2020),2020,SDSAIRC,"ResNet-50 (ImageNet pre-trained, fine-tuned) combined via logistic regression with vCDR from M-Net OD/OC segmentation",2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,ONH (cropped with ONH in upper-left corner)
Orlando (2020),2020,CUHKMED,vCDR derived from DeepLabv3+ (MobileNetV2 backbone) OD/OC segmentation with adversarial domain adaptation,2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,ONH
Orlando (2020),2020,NKSG,SENet-154 pre-trained on Kaggle DR and fine-tuned on REFUGE,2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,full retina
Orlando (2020),2020,Mammoth,Ensemble of ResNet-18 (ImageNet pre-trained) and CatGAN semi-supervised,2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,ONH (CLAHE pre-processed)
