Study,Year,PDF link,PDF path,Arm / test,TP,FN,FP,TN,N positive,N negative,Sensitivity,Specificity,AUC (raw),Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Threshold,Source sheet,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,N_pos_calc,N_neg_calc,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,ai_class
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 15; up to 500 iterations; Random Forest,41,3,6,144,44,150,0.9318,0.96,0.945,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 15; up to 500 iterations; Random Forest,n/r,codex_v5_vision,0.9318,0.8177,0.9765,0.9600,0.9155,0.9815,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 15; up to 500 iterations; CatBoost,40,4,7,143,44,150,0.9091,0.9533,0.931,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 15; up to 500 iterations; CatBoost,n/r,codex_v5_vision,0.9091,0.7884,0.9641,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 15; up to 500 iterations; SVM,41,3,10,140,44,150,0.9318,0.9333,0.932,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 15; up to 500 iterations; SVM,n/r,codex_v5_vision,0.9318,0.8177,0.9765,0.9333,0.8816,0.9634,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 15; up to 500 iterations; Ensemble,42,2,8,142,44,150,0.9545,0.9467,0.95,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 15; up to 500 iterations; Ensemble,n/r,codex_v5_vision,0.9545,0.8487,0.9874,0.9467,0.8983,0.9727,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; Logistic Regression,41,3,9,141,44,150,0.9318,0.94,0.924,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; Logistic Regression,n/r,codex_v5_vision,0.9318,0.8177,0.9765,0.9400,0.8899,0.9681,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; XGBoost,40,4,7,143,44,150,0.9091,0.9533,0.931,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; XGBoost,n/r,codex_v5_vision,0.9091,0.7884,0.9641,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; Random Forest,41,3,7,143,44,150,0.9318,0.9533,0.9425,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; Random Forest,n/r,codex_v5_vision,0.9318,0.8177,0.9765,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; CatBoost,42,2,6,144,44,150,0.9545,0.96,0.957,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; CatBoost,n/r,codex_v5_vision,0.9545,0.8487,0.9874,0.9600,0.9155,0.9815,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; SVM,42,2,9,141,44,150,0.9545,0.94,0.935,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; SVM,n/r,codex_v5_vision,0.9545,0.8487,0.9874,0.9400,0.8899,0.9681,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; Ensemble,43,1,8,142,44,150,0.9773,0.9467,0.961,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Grey Wolf Optimizer (GWO) feature selection; population size 20; up to 500 iterations; Ensemble,n/r,codex_v5_vision,0.9773,0.8819,0.9960,0.9467,0.8983,0.9727,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; Logistic Regression,38,6,10,140,44,150,0.8636,0.9333,0.898,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; Logistic Regression,n/r,codex_v5_vision,0.8636,0.7329,0.9360,0.9333,0.8816,0.9634,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; XGBoost,37,7,6,144,44,150,0.8409,0.96,0.9,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; XGBoost,n/r,codex_v5_vision,0.8409,0.7063,0.9207,0.9600,0.9155,0.9815,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; Random Forest,42,2,7,143,44,150,0.9545,0.9533,0.953,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; Random Forest,n/r,codex_v5_vision,0.9545,0.8487,0.9874,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; CatBoost,41,3,7,143,44,150,0.9318,0.9533,0.942,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; CatBoost,n/r,codex_v5_vision,0.9318,0.8177,0.9765,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; SVM,42,2,11,139,44,150,0.9545,0.9267,0.94,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; SVM,n/r,codex_v5_vision,0.9545,0.8487,0.9874,0.9267,0.8735,0.9586,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; Ensemble,41,3,9,141,44,150,0.9318,0.94,0.935,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 5; up to 500 iterations; Ensemble,n/r,codex_v5_vision,0.9318,0.8177,0.9765,0.9400,0.8899,0.9681,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; Logistic Regression,40,4,9,141,44,150,0.9091,0.94,0.924,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; Logistic Regression,n/r,codex_v5_vision,0.9091,0.7884,0.9641,0.9400,0.8899,0.9681,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; XGBoost,37,7,6,144,44,150,0.8409,0.96,0.9,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; XGBoost,n/r,codex_v5_vision,0.8409,0.7063,0.9207,0.9600,0.9155,0.9815,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; Random Forest,31,13,7,143,44,150,0.7045,0.9533,0.888,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; Random Forest,n/r,codex_v5_vision,0.7045,0.5578,0.8184,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; CatBoost,37,7,6,144,44,150,0.8409,0.96,0.9,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; CatBoost,n/r,codex_v5_vision,0.8409,0.7063,0.9207,0.9600,0.9155,0.9815,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; SVM,41,3,11,139,44,150,0.9318,0.9267,0.929,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; SVM,n/r,codex_v5_vision,0.9318,0.8177,0.9765,0.9267,0.8735,0.9586,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; Ensemble,39,5,7,143,44,150,0.8864,0.9533,0.919,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 10; up to 500 iterations; Ensemble,n/r,codex_v5_vision,0.8864,0.7602,0.9505,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; Logistic Regression,40,4,10,140,44,150,0.9091,0.9333,0.921,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; Logistic Regression,n/r,codex_v5_vision,0.9091,0.7884,0.9641,0.9333,0.8816,0.9634,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; XGBoost,41,3,7,143,44,150,0.9318,0.9533,0.942,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; XGBoost,n/r,codex_v5_vision,0.9318,0.8177,0.9765,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; Random Forest,38,6,7,143,44,150,0.8636,0.9533,0.908,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; Random Forest,n/r,codex_v5_vision,0.8636,0.7329,0.9360,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; CatBoost,38,6,7,143,44,150,0.8636,0.9533,0.908,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; CatBoost,n/r,codex_v5_vision,0.8636,0.7329,0.9360,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; SVM,41,3,11,139,44,150,0.9318,0.9267,0.929,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; SVM,n/r,codex_v5_vision,0.9318,0.8177,0.9765,0.9267,0.8735,0.9586,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; Ensemble,42,2,7,143,44,150,0.9545,0.9533,0.953,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 15; up to 500 iterations; Ensemble,n/r,codex_v5_vision,0.9545,0.8487,0.9874,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; Logistic Regression,40,4,10,140,44,150,0.9091,0.9333,0.921,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; Logistic Regression,n/r,codex_v5_vision,0.9091,0.7884,0.9641,0.9333,0.8816,0.9634,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; XGBoost,39,5,8,142,44,150,0.8864,0.9467,0.916,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; XGBoost,n/r,codex_v5_vision,0.8864,0.7602,0.9505,0.9467,0.8983,0.9727,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; Random Forest,40,4,7,143,44,150,0.9091,0.9533,0.931,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; Random Forest,n/r,codex_v5_vision,0.9091,0.7884,0.9641,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; CatBoost,40,4,7,143,44,150,0.9091,0.9533,0.931,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; CatBoost,n/r,codex_v5_vision,0.9091,0.7884,0.9641,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; SVM,43,1,10,140,44,150,0.9773,0.9333,0.955,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; SVM,n/r,codex_v5_vision,0.9773,0.8819,0.9960,0.9333,0.8816,0.9634,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; Ensemble,42,2,8,142,44,150,0.9545,0.9467,0.95,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; Whale Optimization Algorithm (WOA) feature selection; population size 20; up to 500 iterations; Ensemble,n/r,codex_v5_vision,0.9545,0.8487,0.9874,0.9467,0.8983,0.9727,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; hybrid GWO-WOA (hGWWOA) feature selection; population size 5; up to 500 iterations; Logistic Regression,41,3,9,141,44,150,0.9318,0.94,0.924,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; hybrid GWO-WOA (hGWWOA) feature selection; population size 5; up to 500 iterations; Logistic Regression,n/r,codex_v5_vision,0.9318,0.8177,0.9765,0.9400,0.8899,0.9681,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; hybrid GWO-WOA (hGWWOA) feature selection; population size 5; up to 500 iterations; XGBoost,42,2,7,143,44,150,0.9545,0.9533,0.942,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; hybrid GWO-WOA (hGWWOA) feature selection; population size 5; up to 500 iterations; XGBoost,n/r,codex_v5_vision,0.9545,0.8487,0.9874,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; hybrid GWO-WOA (hGWWOA) feature selection; population size 5; up to 500 iterations; Random Forest,40,4,8,142,44,150,0.9091,0.9467,0.916,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; hybrid GWO-WOA (hGWWOA) feature selection; population size 5; up to 500 iterations; Random Forest,n/r,codex_v5_vision,0.9091,0.7884,0.9641,0.9467,0.8983,0.9727,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; hybrid GWO-WOA (hGWWOA) feature selection; population size 5; up to 500 iterations; CatBoost,40,4,7,143,44,150,0.9091,0.9533,0.931,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; hybrid GWO-WOA (hGWWOA) feature selection; population size 5; up to 500 iterations; CatBoost,n/r,codex_v5_vision,0.9091,0.7884,0.9641,0.9533,0.9068,0.9772,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
Singh (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Singh (2024).pdf,04_fulltext/pdfs/Singh (2024).pdf,ORIGA_ALL_FEATURES 70:30 test split; hybrid GWO-WOA (hGWWOA) feature selection; population size 5; up to 500 iterations; SVM,42,2,9,141,44,150,0.9545,0.94,0.935,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,ORIGA_ALL_FEATURES 70:30 test split; hybrid GWO-WOA (hGWWOA) feature selection; population size 5; up to 500 iterations; SVM,n/r,codex_v5_vision,0.9545,0.8487,0.9874,0.9400,0.8899,0.9681,44,150,n/r,n/r,mixed,internal,expert_clinical,unclear,classical ML
