Study,Year,Test_arm,AI_algorithm,Number_of_human_readers,Reader_experience_yrs,Validation_type,Reference_standard,Threshold_cutoff,Unit,Imaging_modality,Scan_target
Thakoor (2021)b,2021,Conv+FC (Lab),CNN feature extractor + fully connected classifier,1,n/r,internal,Single OCT expert grading of full OCT reports,n/r,image,OCT,RNFL probability map
Thakoor (2021)b,2021,Conv+FC (Field),CNN feature extractor + fully connected classifier,1,n/r,external,Single OCT expert grading of full OCT reports,n/r,image,OCT,RNFL probability map
Thakoor (2021)b,2021,Conv+RF (Lab),CNN feature extractor + random forest classifier,1,n/r,internal,Single OCT expert grading of full OCT reports,n/r,image,OCT,RNFL probability map
Thakoor (2021)b,2021,Conv+RF (Field),CNN feature extractor + random forest classifier,1,n/r,external,Single OCT expert grading of full OCT reports,n/r,image,OCT,RNFL probability map
Thakoor (2021)b,2021,VGG-16+RF (Lab),VGG-16 pre-trained CNN feature extractor + random forest classifier,1,n/r,internal,Single OCT expert grading of full OCT reports,n/r,image,OCT,RNFL probability map
Thakoor (2021)b,2021,VGG-16+RF (Field),VGG-16 pre-trained CNN feature extractor + random forest classifier,1,n/r,external,Single OCT expert grading of full OCT reports,n/r,image,OCT,RNFL probability map
Thakoor (2021)b,2021,ResNet-18+RF (Lab),ResNet-18 pre-trained CNN feature extractor + random forest classifier,1,n/r,internal,Single OCT expert grading of full OCT reports,n/r,image,OCT,RNFL probability map
Thakoor (2021)b,2021,ResNet-18+RF (Field),ResNet-18 pre-trained CNN feature extractor + random forest classifier,1,n/r,external,Single OCT expert grading of full OCT reports,n/r,image,OCT,RNFL probability map
Thakoor (2021)b,2021,InceptionV3+RF (Lab),InceptionV3 pre-trained CNN feature extractor + random forest classifier,1,n/r,internal,Single OCT expert grading of full OCT reports,n/r,image,OCT,RNFL probability map
Thakoor (2021)b,2021,InceptionV3+RF (Field),InceptionV3 pre-trained CNN feature extractor + random forest classifier,1,n/r,external,Single OCT expert grading of full OCT reports,n/r,image,OCT,RNFL probability map
Thakoor (2021)b,2021,DenseNet-121+FC (Lab),DenseNet-121 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,internal,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,DenseNet-121+FC (Field),DenseNet-121 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,external,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,CNN Ensemble (Lab),"Averaged ensemble of InceptionV3+FC, ResNet-18+FC, and VGG-16+FC",1,n/r,internal,Single OCT expert grading of full OCT reports,0.5 averaged sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,CNN Ensemble (Field),"Averaged ensemble of InceptionV3+FC, ResNet-18+FC, and VGG-16+FC",1,n/r,external,Single OCT expert grading of full OCT reports,0.5 averaged sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,VGG-16+FC (Lab),VGG-16 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,internal,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,VGG-16+FC (Field),VGG-16 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,external,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,ResNet-18+FC (Lab),ResNet-18 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,internal,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,ResNet-18+FC (Field),ResNet-18 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,external,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,InceptionV3+FC (Lab),InceptionV3 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,internal,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Thakoor (2021)b,2021,InceptionV3+FC (Field),InceptionV3 pre-trained on ImageNet + fine-tuned dense classifier layers,1,n/r,external,Single OCT expert grading of full OCT reports,0.5 sigmoid probability,image,OCT,RNFL probability map
Hemelings (2023),2023,"G-RISK regression CNN, external validation with dataset-specific threshold values",Custom ResNet-50 convolutional neural network regression model with linear final activation,n/r,n/r,external,Dataset-specific glaucoma ground truth labels,0.58-0.82,"mixed: image, eye, patient",fundus,ONH/optic disc
Hemelings (2023),2023,"G-RISK regression CNN, fixed threshold analysis",Custom ResNet-50 convolutional neural network regression model with linear final activation,n/r,n/r,external,Dataset-specific glaucoma ground truth labels,0.70,"mixed: image, eye, patient",fundus,ONH/optic disc
Hemelings (2023),2023,Binary glaucoma detection CNN comparator,Custom ResNet-50 convolutional neural network binary classifier with sigmoid activation,n/r,n/r,external,Dataset-specific glaucoma ground truth labels,0.5,"mixed: image, eye",fundus,ONH/optic disc
Yang (2020),2020,ResNet-50 CNN for GON detection among normal optic disc and NGON images,ResNet-50 convolutional neural network,2,n/r,internal,Diagnosis by 2 expert neuro-ophthalmologists with corroborating visual field testing and OCT,n/r,image,fundus,ONH
Jammal (2020),2020,M2M DL RNFL thickness,ResNet34,2,n/r,internal,repeatable glaucomatous visual field loss on standard automated perimetry,n/r,eye,fundus,ONH/RNFL
Phene (2019),2019,Validation dataset A,Inception-v3 deep convolutional neural network ensemble,12,n/r,internal,panel of 3 fellowship-trained glaucoma specialists using fundus photographs,balanced operating point,image,fundus,ONH
Phene (2019),2019,Validation dataset B (Veterans Affairs Atlanta),Inception-v3 deep convolutional neural network ensemble,6,n/r,external,health factors and ICD codes from diabetic teleretinal screening program records,balanced operating point,patient,fundus,ONH
Phene (2019),2019,Validation dataset C (Dr. Shroff),Inception-v3 deep convolutional neural network ensemble,4,n/r,external,full glaucoma workup including visual field and OCT,balanced operating point,patient,fundus,ONH
Ramzan (2019),2019,Computed CDR from proposed OCT ILM/RPE segmentation system,"retinal layer segmentation with preprocessing, denoising, thresholding, ILM interpolation, RPE extraction, optic cup-to-disc ratio calculation, threshold-based classifier",4,n/r,internal,CDR annotations by four expert ophthalmologists; senior ophthalmologist used as main comparator,CDR >=0.5 glaucomatous; <0.5 normal,image,OCT,ONH
Rasel (2024),2024,"2D-ResNet18 pre-trained, macular-OCT",2D ResNet18 CNN pre-trained on ImageNet1K with XGBoost aggregation,n/r,n/r,internal,ICD-10 code H40.1 for POAG,Youden Index,eye,OCT,macula
Rasel (2024),2024,"3D-ResNet18 from scratch, macular-OCT",3D ResNet18 CNN,n/r,n/r,internal,ICD-10 code H40.1 for POAG,Youden Index,eye,OCT,macula
Rasel (2024),2024,"3D-ResNet18 pre-trained, macular-OCT",3D ResNet18 CNN with dimensionality-expanded 2D pre-trained weights,n/r,n/r,internal,ICD-10 code H40.1 for POAG,Youden Index,eye,OCT,macula
Rasel (2024),2024,"3D-DenseNet121 from scratch, macular-OCT",3D DenseNet121 CNN,n/r,n/r,internal,ICD-10 code H40.1 for POAG,Youden Index,eye,OCT,macula
Rasel (2024),2024,"3D-DenseNet121 pre-trained, macular-OCT",3D DenseNet121 CNN with dimensionality-expanded 2D pre-trained weights,n/r,n/r,internal,ICD-10 code H40.1 for POAG,Youden Index,eye,OCT,macula
Rasel (2024),2024,"3D-CNN-Encoder from scratch, macular-OCT",5-layer 3D CNN encoder,n/r,n/r,internal,ICD-10 code H40.1 for POAG,Youden Index,eye,OCT,macula
Rasel (2024),2024,"2D-ResNet18 pre-trained, ONH-OCT",2D ResNet18 CNN pre-trained on ImageNet1K with XGBoost aggregation,n/r,n/r,internal,published ONH-OCT dataset labels for POAG,Youden Index,eye,OCT,ONH
Rasel (2024),2024,"3D-ResNet18 from scratch, ONH-OCT",3D ResNet18 CNN,n/r,n/r,internal,published ONH-OCT dataset labels for POAG,Youden Index,eye,OCT,ONH
Rasel (2024),2024,"3D-ResNet18 pre-trained, ONH-OCT",3D ResNet18 CNN with dimensionality-expanded 2D pre-trained weights,n/r,n/r,internal,published ONH-OCT dataset labels for POAG,Youden Index,eye,OCT,ONH
Rasel (2024),2024,"3D-DenseNet121 from scratch, ONH-OCT",3D DenseNet121 CNN,n/r,n/r,internal,published ONH-OCT dataset labels for POAG,Youden Index,eye,OCT,ONH
Rasel (2024),2024,"3D-DenseNet121 pre-trained, ONH-OCT",3D DenseNet121 CNN with dimensionality-expanded 2D pre-trained weights,n/r,n/r,internal,published ONH-OCT dataset labels for POAG,Youden Index,eye,OCT,ONH
Rasel (2024),2024,"3D-CNN-Encoder from scratch, ONH-OCT",5-layer 3D CNN encoder,n/r,n/r,internal,published ONH-OCT dataset labels for POAG,Youden Index,eye,OCT,ONH
Garcia-Lopez (2026),2026,CFP module - ResNet50,ImageNet-pretrained ResNet50 CNN with GAP and fully connected layers,n/r,n/r,internal,source public dataset glaucoma/non-glaucoma labels,n/r,image,fundus,ONH
Garcia-Lopez (2026),2026,CFP module - DenseNet169,ImageNet-pretrained DenseNet169 CNN with GAP and fully connected layers,n/r,n/r,internal,source public dataset glaucoma/non-glaucoma labels,n/r,image,fundus,ONH
Garcia-Lopez (2026),2026,CFP module - InceptionV3,ImageNet-pretrained InceptionV3 CNN with GAP and fully connected layers,n/r,n/r,internal,source public dataset glaucoma/non-glaucoma labels,n/r,image,fundus,ONH
Garcia-Lopez (2026),2026,OCT module - ResNet50,ImageNet-pretrained ResNet50 CNN with GAP and fully connected layers,n/r,n/r,internal,Maetschke et al. OCT dataset labels based on POAG diagnosis; volume labels extended to selected central B-scans,n/r,image,OCT,ONH
Garcia-Lopez (2026),2026,OCT module - Xception,ImageNet-pretrained Xception CNN with GAP and fully connected layers,n/r,n/r,internal,Maetschke et al. OCT dataset labels based on POAG diagnosis; volume labels extended to selected central B-scans,n/r,image,OCT,ONH
Garcia-Lopez (2026),2026,OCT module - MobileNetV3,ImageNet-pretrained MobileNetV3 CNN with GAP and fully connected layers,n/r,n/r,internal,Maetschke et al. OCT dataset labels based on POAG diagnosis; volume labels extended to selected central B-scans,n/r,image,OCT,ONH
Garcia-Lopez (2026),2026,Multimodal ensemble - MV,Late-fusion CNN ensemble using majority voting across CFP and OCT module predictions,4,n/r,external,4 ophthalmologists' image labels; majority agreement used where reported,n/r,image,multimodal,ONH
Garcia-Lopez (2026),2026,Multimodal ensemble - AV,Late-fusion CNN ensemble using averaged prediction probabilities across CFP and OCT modules,4,n/r,external,4 ophthalmologists' image labels; majority agreement used where reported,n/r,image,multimodal,ONH
Garcia-Lopez (2026),2026,Multimodal ensemble - MBWV,Late-fusion CNN ensemble using metric-based weighted voting across CFP and OCT modules,4,n/r,external,4 ophthalmologists' image labels; majority agreement used where reported,n/r,image,multimodal,ONH
Garcia-Lopez (2026),2026,Multimodal ensemble - MBWVe,Late-fusion CNN ensemble using exponential metric-based weighted voting across CFP and OCT modules,4,n/r,external,4 ophthalmologists' image labels; majority agreement used where reported,n/r,image,multimodal,ONH
Garcia-Lopez (2026),2026,Multimodal ensemble - Stacking SVM,Feature-level fusion using CNN feature extraction followed by SVM meta-classifier,4,n/r,external,4 ophthalmologists' image labels; majority agreement used where reported,n/r,image,multimodal,ONH
Garcia-Lopez (2026),2026,Multimodal ensemble - MLP,Feature-level fusion using concatenated CNN feature vectors followed by multilayer perceptron,4,n/r,external,4 ophthalmologists' image labels; majority agreement used where reported,n/r,image,multimodal,ONH
Civit-Masot (2020),2020,Segmentation subsystem / generalized U-Net CDR classifier,generalized U-Net for optic disc and cup segmentation with feature extraction and CDR-based classification,n/r,n/r,internal,professional/supervised dataset labels; manual disc and cup segmentation ground truth,CDR 0.52,image,fundus,ONH
Civit-Masot (2020),2020,Direct classification subsystem,MobileNetV2 pretrained on ImageNet with custom classifier,n/r,n/r,internal,professional/supervised dataset labels,n/r,image,fundus,ONH
Civit-Masot (2020),2020,Ensemble network,ensemble combining generalized U-Net CDR-based classifier and MobileNetV2 direct classifier,n/r,n/r,internal,professional/supervised dataset labels,any subsystem indicates glaucoma,image,fundus,ONH
Rodriguez-Robles (2023),2023,Decision tree - retinography features,classification tree,2,n/r,internal,ophthalmologist classification,n/r,patient,fundus,ONH
Rodriguez-Robles (2023),2023,SVM - retinography features,support vector machine,2,n/r,internal,ophthalmologist classification,n/r,patient,fundus,ONH
Rodriguez-Robles (2023),2023,Decision tree - OCT features,classification tree,n/r,n/r,internal,ophthalmologist classification,n/r,patient,OCT,RNFL
Rodriguez-Robles (2023),2023,SVM - OCT features,support vector machine,n/r,n/r,internal,ophthalmologist classification,n/r,patient,OCT,RNFL
Rodriguez-Robles (2023),2023,Decision tree - retinography plus OCT features,classification tree,2,n/r,internal,ophthalmologist classification,n/r,patient,multimodal,ONH/RNFL
Rodriguez-Robles (2023),2023,SVM - retinography plus OCT features,support vector machine,2,n/r,internal,ophthalmologist classification,n/r,patient,multimodal,ONH/RNFL
Russakoff (2020),2020,"Stanford training, testing, and primary validation dataset","3D convolutional neural network, gNet3D",n/r,>2 for initial labeling; >10 for arbitration,internal,"glaucoma specialist chart review using fundus image, visual field, OCT RNFL and GCIPL parameters, intraocular pressure-lowering treatment and chart review",referable vs nonreferable probability; cutoff n/r,eye,OCT,macula
Russakoff (2020),2020,CUHK external validation/test set,"3D convolutional neural network, gNet3D",2,"glaucoma specialists, yrs n/r",external,two glaucoma specialists independently labeled true glaucoma or true normal using OCT RNFL defects on thickness or deviation maps correlated with visual field defects; disagreements adjudicated by senior glaucoma specialist,referable vs nonreferable probability; cutoff n/r,eye,OCT,macula
Russakoff (2020),2020,Narayana Nethralaya India external validation/test set,"3D convolutional neural network, gNet3D",1,n/r,external,experienced glaucoma specialist labeled cases into true glaucoma and true normal using definitions similar to Stanford Table 1 criteria,referable vs nonreferable probability; cutoff n/r,eye,OCT,macula
Zemborain (2020),2020,OCT specialist using only inner circle scan,n/r,1,n/r,internal,glaucoma specialist classification of GON using all available clinical information,n/r,eye,OCT,ONH/RNFL
Zemborain (2020),2020,OCT specialist using inner plus outer circle scans,n/r,1,n/r,internal,glaucoma specialist classification of GON using all available clinical information,n/r,eye,OCT,ONH/RNFL
Zemborain (2020),2020,OCT specialist using circle scans plus RNFL and GCL thickness maps,n/r,1,n/r,internal,glaucoma specialist classification of GON using all available clinical information,n/r,eye,OCT,RNFL/GCL
Zemborain (2020),2020,"OCT specialist using circle scans, thickness maps, and horizontal or vertical B-scans",n/r,1,n/r,internal,glaucoma specialist classification of GON using all available clinical information,n/r,eye,OCT,macula/RNFL/GCL
Alryalat (2024),2024,"ChatGPT-4, unprocessed fundus images",multimodal large language model,n/r,n/r,external,REFUGE dataset labels; glaucomatous cases identified based on optic nerve head damage and reproducible visual field defects,Likely Glaucomatous vs Likely Non-Glaucomatous,image,fundus,ONH
Alryalat (2024),2024,"ChatGPT-4, cropped fundus images",multimodal large language model,n/r,n/r,external,REFUGE dataset labels; glaucomatous cases identified based on optic nerve head damage and reproducible visual field defects,Likely Glaucomatous vs Likely Non-Glaucomatous,image,fundus,ONH
Nugraha (2025),2025,InceptionV3 BCE,InceptionV3,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Nugraha (2025),2025,InceptionV3 Focal,InceptionV3 with focal loss,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Nugraha (2025),2025,InceptionV3 Weighted,InceptionV3 with weighted binary cross-entropy loss,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Nugraha (2025),2025,ResNet50 BCE,ResNet50,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Nugraha (2025),2025,ResNet50 Focal,ResNet50 with focal loss,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Nugraha (2025),2025,ResNet50 Weighted,ResNet50 with weighted binary cross-entropy loss,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Nugraha (2025),2025,DenseNet121 BCE,DenseNet121,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Nugraha (2025),2025,DenseNet121 Focal,DenseNet121 with focal loss,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Nugraha (2025),2025,DenseNet121 Weighted,DenseNet121 with weighted binary cross-entropy loss,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Nugraha (2025),2025,MobileNetV2 BCE,MobileNetV2,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Nugraha (2025),2025,MobileNetV2 Focal,MobileNetV2 with focal loss,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Nugraha (2025),2025,MobileNetV2 Weighted,MobileNetV2 with weighted binary cross-entropy loss,n/r,n/r,internal,public dataset labels from SMDG-19 contributing datasets,n/r,image,fundus,ONH
Sanchez-Morales (2022),2022,CNN,convolutional neural network,n/r,n/r,internal,expert-labelled fundus image diagnosis / source dataset labels,best decision threshold by G-mean metric,image,fundus,ONH
Sanchez-Morales (2022),2022,CapsNet,capsule network,n/r,n/r,internal,expert-labelled fundus image diagnosis / source dataset labels,best decision threshold by G-mean metric,image,fundus,ONH
Sanchez-Morales (2022),2022,CDAE,convolutional denoising autoencoder with MLP classifier,n/r,n/r,internal,expert-labelled fundus image diagnosis / source dataset labels,best decision threshold by G-mean metric,image,fundus,ONH
Sanchez-Morales (2022),2022,Ensemble (K = 10),"K-NN weighted soft voting ensemble combining CNN, CapsNet and CDAE probabilities",n/r,n/r,internal,expert-labelled fundus image diagnosis / source dataset labels,K = 10; best decision threshold by ROC/G-mean,image,fundus,ONH
Senthil (2025),2025,Smartphone fundus camera offline glaucoma AI,deep-learning system with cup/disc segmentation model plus assistive optic-disc neural network and binary classification model,n/r,>15,external,"glaucoma specialist diagnosis based on comprehensive clinical assessment, visual field testing, SD-OCT, and fundus/optic disc examination",referral-warranted glaucoma defined as definite glaucoma plus disc suspect vs no glaucoma,patient,fundus,ONH
Islam (2025),2025,Fundus-only model,ResNet-18 CNN pretrained on ImageNet with global average pooling and softmax classifier,n/r,n/r,internal,comprehensive clinical evaluation by expert clinicians/senior ophthalmologists,0.5 probability,eye,fundus,ONH
Islam (2025),2025,OCT-only model,"custom 2D CNN with convolution, batch normalisation, ReLU, max-pooling, global average pooling and softmax classifier",n/r,n/r,internal,comprehensive clinical evaluation by expert clinicians/senior ophthalmologists,0.5 probability,eye,OCT,ONH/RNFL
Islam (2025),2025,Fusion model,dual-branch mid-level feature fusion CNN combining ResNet-18 fundus features and custom OCT CNN features,n/r,n/r,internal,comprehensive clinical evaluation by expert clinicians/senior ophthalmologists,0.5 probability,eye,multimodal,ONH/RNFL
Shen (2023),2023,MG-Efficient Net on ORIGA,"mask-guided EfficientNetV2-S CNN with U-Net++ segmentation, Inverted-MBConv blocks, and dilated-convolution downsampling",n/r,n/r,internal,ORIGA dataset labels,n/r,image,fundus,ONH
Shen (2023),2023,MG-Efficient Net on LAG,"mask-guided EfficientNetV2-S CNN with U-Net++ segmentation, Inverted-MBConv blocks, and dilated-convolution downsampling",n/r,n/r,external,LAG dataset labels,n/r,image,fundus,ONH
Shen (2023),2023,MG-Efficient Net on RIM-ONE,"mask-guided EfficientNetV2-S CNN with U-Net++ segmentation, Inverted-MBConv blocks, and dilated-convolution downsampling",n/r,n/r,external,RIM-ONE dataset labels,n/r,image,fundus,ONH
Shen (2023),2023,MG-Efficient Net on REFUGE,"mask-guided EfficientNetV2-S CNN with U-Net++ segmentation, Inverted-MBConv blocks, and dilated-convolution downsampling",n/r,n/r,external,REFUGE dataset labels,n/r,image,fundus,ONH
Shen (2023),2023,MG-Efficient Net on ACRIMA,"mask-guided EfficientNetV2-S CNN with U-Net++ segmentation, Inverted-MBConv blocks, and dilated-convolution downsampling",n/r,n/r,external,ACRIMA dataset labels,n/r,image,fundus,ONH
Krishnaadithya (2021),2021,EffUnet-SpaGen on ORIGA-B,EffUnet U-Net segmentation with pretrained EfficientNet-B1 encoder plus SpaGen hierarchical spatial generative classifier,n/r,n/r,internal,ORIGA ophthalmologist manual optic disc/cup annotation and grader consensus,ROC top-left optimal threshold from training set; numeric cutoff n/r,eye,fundus,ONH
Krishnaadithya (2021),2021,EffUnet-SpaGen on DRISHTI-B,EffUnet U-Net segmentation with pretrained EfficientNet-B1 encoder plus SpaGen hierarchical spatial generative classifier,n/r,n/r,external,DRISHTI-GS1 Aravind Eye Hospital annotations and segmentation ground truth,ROC top-left optimal threshold from training set; numeric cutoff n/r,eye,fundus,ONH
Hirota (2020),2020,RGB model,VGG16 CNN,1,n/r,internal,complete ophthalmological examination and glaucoma specialist review using Japan Glaucoma Society Guidelines,predicted value <= 0.5 for glaucoma,image,fundus,ONH/RNFL
Hirota (2020),2020,red channel model,VGG16 CNN,1,n/r,internal,complete ophthalmological examination and glaucoma specialist review using Japan Glaucoma Society Guidelines,predicted value <= 0.5 for glaucoma,image,fundus,ONH/RNFL
Hirota (2020),2020,green channel model,VGG16 CNN,1,n/r,internal,complete ophthalmological examination and glaucoma specialist review using Japan Glaucoma Society Guidelines,predicted value <= 0.5 for glaucoma,image,fundus,ONH/RNFL
Hirota (2020),2020,blue channel model,VGG16 CNN,1,n/r,internal,complete ophthalmological examination and glaucoma specialist review using Japan Glaucoma Society Guidelines,predicted value <= 0.5 for glaucoma,image,fundus,ONH/RNFL
Hirota (2020),2020,grayscale model,VGG16 CNN,1,n/r,internal,complete ophthalmological examination and glaucoma specialist review using Japan Glaucoma Society Guidelines,predicted value <= 0.5 for glaucoma,image,fundus,ONH/RNFL
Shehryar (2020),2020,HSF module,support vector machine using hybrid structural features from fundus images,4,"varied; junior to senior ophthalmologists, exact years n/r",internal,ophthalmologist-annotated AFIO ground truth,CDR > 0.5 glaucomatous; RDR < 0.1 glaucomatous,image,fundus,ONH
Shehryar (2020),2020,HTF module,support vector machine using hybrid textural/intensity features from fundus images,4,"varied; junior to senior ophthalmologists, exact years n/r",internal,ophthalmologist-annotated AFIO ground truth,n/r,image,fundus,ONH
Shehryar (2020),2020,OCT module,rule-based SD-OCT cup-to-disc ratio calculation from ILM and RPE layer extraction,4,"varied; junior to senior ophthalmologists, exact years n/r",internal,ophthalmologist-annotated AFIO ground truth,CDR > 0.5 glaucomatous,image,OCT,ONH
Shehryar (2020),2020,H-CAD system,"fusion of fundus HSF, fundus HTF, and SD-OCT CDR modules",4,"varied; junior to senior ophthalmologists, exact years n/r",internal,ophthalmologist-annotated AFIO ground truth,OCT positive plus either fundus module positive confirms glaucoma; discordant positive results classified as suspected,image,multimodal,ONH
Chang (2021),2021,Referable glaucoma,ResNet-50,3,n/r,internal,3 board-trained ophthalmologists using ISGEO guidelines and predefined criteria,0.90 specificity,image,fundus,optic disc
Chang (2021),2021,Increased cup-to-disc ratio,ResNet-50,3,n/r,internal,3 board-trained ophthalmologists using predefined annotation criteria,0.90 specificity,image,fundus,optic disc
Chang (2021),2021,Disc rim narrowing,ResNet-50,3,n/r,internal,3 board-trained ophthalmologists using predefined annotation criteria,0.90 specificity,image,fundus,optic disc
Chang (2021),2021,Retinal nerve fiber layer defect,ResNet-50,3,n/r,internal,3 board-trained ophthalmologists using predefined annotation criteria,0.90 specificity,image,fundus,RNFL
Schottenhamml (2021),2021,"CNN, whole retina projection",DenseNet161,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Schottenhamml (2021),2021,"CNN, SVP",DenseNet161,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Schottenhamml (2021),2021,"CNN, ICP",WideResNet-101-2,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Schottenhamml (2021),2021,"CNN, DCP",DenseNet161,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Schottenhamml (2021),2021,"SVM using Ong et al. handcrafted features, whole retina projection",SVM linear kernel,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Schottenhamml (2021),2021,"SVM using Ong et al. handcrafted features, SVP",SVM linear kernel,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Schottenhamml (2021),2021,"SVM using Ong et al. handcrafted features, ICP",SVM linear kernel,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Schottenhamml (2021),2021,"SVM using Ong et al. handcrafted features, DCP",SVM linear kernel,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Schottenhamml (2021),2021,"SVM using vessel density, whole retina projection",SVM sigmoid kernel,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Schottenhamml (2021),2021,"SVM using vessel density, SVP",SVM linear kernel,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Schottenhamml (2021),2021,"SVM using vessel density, ICP",SVM sigmoid kernel,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Schottenhamml (2021),2021,"SVM using vessel density, DCP",SVM linear kernel,n/r,n/r,internal,clinical diagnosis from standardized ophthalmological examination,n/r,eye,OCT-A,macula
Krishnaadithya (2021),2021,EffUnet-SpaGen on ORIGA-B,EffUnet U-shaped CNN with EfficientNet-B1 encoder plus SpaGen 15-parameter spatial generative classifier,n/r,n/r,internal,expert consensus/manual ORIGA dataset labels with manual optic disc/cup annotations,ROC-optimal threshold; numeric cutoff n/r,image,fundus,ONH
Krishnaadithya (2021),2021,EffUnet-SpaGen on DRISHTI-B,EffUnet U-shaped CNN with EfficientNet-B1 encoder plus SpaGen 15-parameter spatial generative classifier,n/r,n/r,external,DRISHTI-GS1 dataset ground truth labels/annotations from Aravind Eye Hospital,ROC-optimal threshold; numeric cutoff n/r,image,fundus,ONH
Shyamalee (2024),2024,Modified Inception V3 classification after Attention U-Net + ResNet50 segmentation,Attention U-Net with modified ResNet50 backbone for optic disc/cup segmentation; modified Inception V3 for glaucoma classification; Grad-CAM and Grad-CAM++ explainability,n/r,n/r,both,"public dataset labels/segmentation masks from RIM-ONE, ACRIMA, ORIGA, REFUGE, and DRISHTI-GS1",n/r,image,fundus,ONH
Sidhu (2024),2024,Lobe ResNet50V2 model on held-out final dataset,ResNet50V2 convolutional neural network,1,n/r,internal,single senior glaucoma specialist grading of color fundus photographs for GON,software classification output; no numeric cutoff reported,image,fundus,ONH
Shoukat (2023),2023,G1020,ResNet-50 CNN,n/r,n/r,internal,public dataset labels/ground truth annotations,n/r,image,fundus,ONH
Shoukat (2023),2023,RIM-ONE,ResNet-50 CNN,n/r,n/r,internal,public dataset labels/ground truth annotations,n/r,image,fundus,ONH
Shoukat (2023),2023,ORIGA,ResNet-50 CNN,n/r,n/r,internal,public dataset labels/ground truth annotations,n/r,image,fundus,ONH
Shoukat (2023),2023,DRISHTI-GS,ResNet-50 CNN,n/r,n/r,internal,public dataset labels/ground truth annotations,n/r,image,fundus,ONH
Song (2025),2025,Model 1,CNN,n/r,n/r,internal,visual field mean defect (V-MD) severity classification,p_hat > 0.5,image,fundus,fundus/ONH-macula ROI
Song (2025),2025,Model 2,ANN,n/r,n/r,internal,visual field mean defect (V-MD) severity classification,p_hat > 0.5,eye,OCT,macula and RNFL thickness
